FROM,TO,BAYES_FACTOR,POSTERIOR PROBABILITY,Median,95 low,95 high
ENDEMIC-ZONE,CENTRAL-CORRIDOR-AF,114346.396,1,11,7,15
SOUTH-CORRIDOR-PK,CENTRAL-CORRIDOR-AF,57.4511731,0.800774903,2,0,3
NORTH-CORRIDOR-AF,CENTRE-AFG,114346.396,1,8,4,8
NORTH-CORRIDOR-PK,CENTRE-AFG,10.79680347,0.43032121,0,0,4
SOUTH-CORRIDOR-AF,CENTRE-AFG,56.12584417,0.797025372,1,0,1
KARACHI,CENTRE-PAK,42.04201544,0.746281715,7,0,14
NORTH-CORRIDOR-AF,CENTRE-PAK,355.8060187,0.961379828,1,0,2
SINDH,CENTRE-PAK,114346.396,1,21,13,29
SOUTH-CORRIDOR-PK,CENTRE-PAK,114346.396,1,29,22,37
SOUTH-PUNJAB,CENTRE-PAK,138.7999928,0.90663667,4,0,7
ENDEMIC-ZONE,EAST-PAK,114346.396,1,16,11,20
KARACHI,EAST-PAK,114346.396,1,27,20,34
KP,EAST-PAK,45.51877651,0.761029871,1,0,2
NORTH-CORRIDOR-AF,EAST-PAK,114346.396,1,16,11,21
NORTH-CORRIDOR-PK,EAST-PAK,114346.396,1,55,44,67
SINDH,EAST-PAK,3253.154967,0.995625547,12,6,19
SOUTH-CORRIDOR-PK,EAST-PAK,14280.79287,0.999000125,8,4,12
CENTRAL-CORRIDOR-AF,ENDEMIC-ZONE,20.40351158,0.588051494,1,0,4
CENTRE-PAK,ENDEMIC-ZONE,57.99537896,0.802274716,1,0,4
EAST-PAK,ENDEMIC-ZONE,8154.327367,0.998250219,8,3,13
KARACHI,ENDEMIC-ZONE,114346.396,1,14,8,19
NORTH-AFG,ENDEMIC-ZONE,19.05773267,0.571428571,1,0,1
NORTH-CORRIDOR-PK,ENDEMIC-ZONE,114346.396,1,15,8,19
EAST-PAK,GB,500.8449407,0.972253468,4,2,4
CENTRE-PAK,KARACHI,10.26343001,0.417947757,0,0,7
EAST-PAK,KARACHI,114346.396,1,13,7,19
ENDEMIC-ZONE,KARACHI,54.84859248,0.793275841,3,0,6
NORTH-CORRIDOR-PK,KARACHI,4560.134274,0.996875391,11,5,17
SINDH,KARACHI,114346.396,1,31,19,43
SOUTH-CORRIDOR-AF,KARACHI,1347.143478,0.989501312,6,3,10
SOUTH-CORRIDOR-PK,KARACHI,114346.396,1,20,13,29
SOUTH-PUNJAB,KARACHI,13.94390774,0.493813273,0,0,4
EAST-PAK,KP,820.4562577,0.98287714,6,2,10
KARACHI,KP,38.72510074,0.730408699,3,0,4
NORTH-CORRIDOR-AF,NORTH-AFG,543.5637216,0.974378203,3,2,6
SOUTH-CORRIDOR-AF,NORTH-AFG,40.90008338,0.741032371,2,0,4
SOUTH-CORRIDOR-PK,NORTH-AFG,10.71997463,0.428571429,0,0,4
KARACHI,NORTH-CORRIDOR-AF,418.8911298,0.967004124,4,2,7
NORTH-AFG,NORTH-CORRIDOR-AF,29.64088772,0.674665667,1,0,2
NORTH-CORRIDOR-PK,NORTH-CORRIDOR-AF,114346.396,1,41,33,48
CENTRAL-CORRIDOR-AF,NORTH-CORRIDOR-PK,66.92878099,0.824021997,1,0,2
EAST-PAK,NORTH-CORRIDOR-PK,114346.396,1,37,25,48
ENDEMIC-ZONE,NORTH-CORRIDOR-PK,114346.396,1,13,9,17
KARACHI,NORTH-CORRIDOR-PK,114346.396,1,14,9,20
NORTH-CORRIDOR-AF,NORTH-CORRIDOR-PK,114346.396,1,29,22,36
CENTRE-PAK,SINDH,69.12077003,0.828646419,4,0,8
EAST-PAK,SINDH,11421.77563,0.998750156,12,7,18
KARACHI,SINDH,114346.396,1,100,85,114
SOUTH-CORRIDOR-PK,SINDH,114346.396,1,17,10,23
SOUTH-PUNJAB,SINDH,70.48111809,0.831396075,2,0,6
CENTRE-PAK,SOUTH-CORRIDOR-AF,13.15765809,0.479315086,0,0,4
NORTH-CORRIDOR-PK,SOUTH-CORRIDOR-AF,83.53449291,0.853893263,4,0,7
SOUTH-CORRIDOR-PK,SOUTH-CORRIDOR-AF,114346.396,1,28,21,35
WEST-AFG,SOUTH-CORRIDOR-AF,116.1065743,0.890388701,1,0,3
CENTRE-PAK,SOUTH-CORRIDOR-PK,159.5071402,0.91776028,4,0,8
EAST-PAK,SOUTH-CORRIDOR-PK,114346.396,1,16,11,22
KARACHI,SOUTH-CORRIDOR-PK,114346.396,1,54,42,63
SINDH,SOUTH-CORRIDOR-PK,1490.452613,0.990501187,11,4,17
SOUTH-CORRIDOR-AF,SOUTH-CORRIDOR-PK,114346.396,1,39,33,45
EAST-PAK,SOUTH-PUNJAB,114346.396,1,30,23,36
ENDEMIC-ZONE,SOUTH-PUNJAB,239.2780737,0.943632046,4,0,6
KARACHI,SOUTH-PUNJAB,1992.034584,0.992875891,13,7,18
SINDH,SOUTH-PUNJAB,23.91608551,0.62592176,3,0,8
SOUTH-CORRIDOR-PK,SOUTH-PUNJAB,114346.396,1,13,9,18
KARACHI,WEST-AFG,2645.257615,0.994625672,5,3,6
NORTH-CORRIDOR-PK,WEST-AFG,16.9271999,0.542182227,1,0,1
SOUTH-CORRIDOR-AF,WEST-AFG,114346.396,1,11,10,14
