Location,IN,IN_L,IN_U,OUT,OUT_L,OUT_U
SOUTH-CORRIDOR-AF,36,30,41,60,47,75
WEST-AF,17,16,19,1,0,3
NORTH-CORRIDOR-AF,46,39,53,56,47,66
CENTRAL-CORRIDOR-AF,13,12,17,2,1,5
CENTRAL-AF,9,9,9,0,0,0
NORTH-AF,6,6,8,2,0,3
SOUTH-CORRIDOR-PK,125,113,135,123,105,141
SINDH,138,124,152,79,57,100
NORTH-CORRIDOR-PK,94,81,107,132,113,150
CENTRAL-CORRIDOR-PK,42,36,47,47,40,54
EAST-PK,137,126,149,127,106,150
SOUTH-PUNJAB,65,61,68,8,4,14
KP,10,9,12,1,0,2
GB,4,4,4,0,0,0
CENTRAL-PK,62,57,67,13,5,21
KARACHI,88,74,102,240,215,268
